0,1,2,3
0,0,0,8
0,1,1,1
1,0,2,2
1,1,3,3
2,0,4,4
2,1,5,5
3,0,6,6
3,1,7,7
1,0,0,82
1,1,0,83
2,0,0,84
2,1,0,85
3,0,0,86
3,1,0,87
1,0,1,12
1,1,1,13
2,0,1,14
2,1,1,15
3,0,1,16
3,1,1,17
0,0,2,28
0,1,2,21
2,0,2,24
2,1,2,25
3,0,2,26
3,1,2,27
0,0,3,38
0,1,3,31
2,0,3,34
2,1,3,35
3,0,3,36
3,1,3,37
0,0,4,48
0,1,4,41
1,0,4,42
1,1,4,43
3,0,4,46
3,1,4,47
0,0,5,58
0,1,5,51
1,0,5,52
1,1,5,53
3,0,5,56
3,1,5,57
0,0,6,68
0,1,6,61
1,0,6,62
1,1,6,63
2,0,6,64
2,1,6,65
0,0,7,78
0,1,7,71
1,0,7,72
1,1,7,73
2,0,7,74
2,1,7,75
0,0,0,828
0,1,0,821
2,0,0,824
2,1,0,825
3,0,0,826
3,1,0,827
0,0,1,838
0,1,1,831
2,0,1,834
2,1,1,835
3,0,1,836
3,1,1,837
0,0,2,848
0,1,2,841
1,0,2,842
1,1,2,843
3,0,2,846
3,1,2,847
0,0,3,858
0,1,3,851
1,0,3,852
1,1,3,853
3,0,3,856
3,1,3,857
0,0,4,868
0,1,4,861
1,0,4,862
1,1,4,863
2,0,4,864
2,1,4,865
0,0,5,878
0,1,5,871
1,0,5,872
1,1,5,873
2,0,5,874
2,1,5,875
0,0,6,128
0,1,6,121
2,0,6,124
2,1,6,125
3,0,6,126
3,1,6,127
0,0,7,138
0,1,7,131
2,0,7,134
2,1,7,135
3,0,7,136
3,1,7,137
0,0,8,148
0,1,8,141
1,0,8,142
1,1,8,143
3,0,8,146
3,1,8,147
0,0,9,158
0,1,9,151
1,0,9,152
1,1,9,153
3,0,9,156
3,1,9,157
0,0,10,168
0,1,10,161
1,0,10,162
1,1,10,163
2,0,10,164
2,1,10,165
0,0,11,178
0,1,11,171
1,0,11,172
1,1,11,173
2,0,11,174
2,1,11,175
1,0,12,282
1,1,12,283
2,0,12,284
2,1,12,285
3,0,12,286
3,1,12,287
1,0,13,212
1,1,13,213
2,0,13,214
2,1,13,215
3,0,13,216
3,1,13,217
0,0,14,248
0,1,14,241
1,0,14,242
1,1,14,243
3,0,14,246
3,1,14,247
0,0,15,258
0,1,15,251
1,0,15,252
1,1,15,253
3,0,15,256
3,1,15,257
0,0,16,268
0,1,16,261
1,0,16,262
1,1,16,263
2,0,16,264
2,1,16,265
0,0,17,278
0,1,17,271
1,0,17,272
1,1,17,273
2,0,17,274
2,1,17,275
1,0,18,382
1,1,18,383
2,0,18,384
2,1,18,385
3,0,18,386
3,1,18,387
1,0,19,312
1,1,19,313
2,0,19,314
2,1,19,315
3,0,19,316
3,1,19,317
0,0,20,348
0,1,20,341
1,0,20,342
1,1,20,343
3,0,20,346
3,1,20,347
0,0,21,358
0,1,21,351
1,0,21,352
